zone_id,zone_name,visitor_count,timestamp,entrance_id
food_court,Food Court,62,2026-06-01 09:00:00,entrance_south
fashion_floor,Fashion Floor,35,2026-06-01 09:00:00,entrance_west
electronics,Electronics,33,2026-06-01 09:00:00,entrance_west
sporting,Sporting,85,2026-06-01 09:00:00,entrance_east
beauty,Beauty,92,2026-06-01 09:00:00,entrance_north
entertainment,Entertainment,97,2026-06-01 09:00:00,entrance_north
food_court,Food Court,34,2026-06-01 10:00:00,entrance_west
fashion_floor,Fashion Floor,90,2026-06-01 10:00:00,entrance_east
electronics,Electronics,98,2026-06-01 10:00:00,entrance_south
sporting,Sporting,90,2026-06-01 10:00:00,entrance_south
beauty,Beauty,29,2026-06-01 10:00:00,entrance_west
entertainment,Entertainment,97,2026-06-01 10:00:00,entrance_north
food_court,Food Court,70,2026-06-01 11:00:00,entrance_north
fashion_floor,Fashion Floor,26,2026-06-01 11:00:00,entrance_west
electronics,Electronics,91,2026-06-01 11:00:00,entrance_north
sporting,Sporting,83,2026-06-01 11:00:00,entrance_south
beauty,Beauty,33,2026-06-01 11:00:00,entrance_north
entertainment,Entertainment,92,2026-06-01 11:00:00,entrance_south
food_court,Food Court,154,2026-06-01 12:00:00,entrance_west
fashion_floor,Fashion Floor,246,2026-06-01 12:00:00,entrance_east
electronics,Electronics,140,2026-06-01 12:00:00,entrance_west
sporting,Sporting,217,2026-06-01 12:00:00,entrance_west
beauty,Beauty,183,2026-06-01 12:00:00,entrance_south
entertainment,Entertainment,124,2026-06-01 12:00:00,entrance_north
food_court,Food Court,165,2026-06-01 13:00:00,entrance_north
fashion_floor,Fashion Floor,226,2026-06-01 13:00:00,entrance_west
electronics,Electronics,102,2026-06-01 13:00:00,entrance_south
sporting,Sporting,183,2026-06-01 13:00:00,entrance_west
beauty,Beauty,248,2026-06-01 13:00:00,entrance_east
entertainment,Entertainment,186,2026-06-01 13:00:00,entrance_south
food_court,Food Court,199,2026-06-01 14:00:00,entrance_east
fashion_floor,Fashion Floor,182,2026-06-01 14:00:00,entrance_south
electronics,Electronics,228,2026-06-01 14:00:00,entrance_south
sporting,Sporting,216,2026-06-01 14:00:00,entrance_north
beauty,Beauty,163,2026-06-01 14:00:00,entrance_east
entertainment,Entertainment,166,2026-06-01 14:00:00,entrance_west
food_court,Food Court,77,2026-06-01 15:00:00,entrance_east
fashion_floor,Fashion Floor,69,2026-06-01 15:00:00,entrance_west
electronics,Electronics,89,2026-06-01 15:00:00,entrance_west
sporting,Sporting,45,2026-06-01 15:00:00,entrance_south
beauty,Beauty,93,2026-06-01 15:00:00,entrance_north
entertainment,Entertainment,82,2026-06-01 15:00:00,entrance_south
food_court,Food Court,46,2026-06-01 16:00:00,entrance_east
fashion_floor,Fashion Floor,98,2026-06-01 16:00:00,entrance_south
electronics,Electronics,84,2026-06-01 16:00:00,entrance_west
sporting,Sporting,65,2026-06-01 16:00:00,entrance_east
beauty,Beauty,21,2026-06-01 16:00:00,entrance_west
entertainment,Entertainment,50,2026-06-01 16:00:00,entrance_east
food_court,Food Court,46,2026-06-01 17:00:00,entrance_east
fashion_floor,Fashion Floor,76,2026-06-01 17:00:00,entrance_east
electronics,Electronics,36,2026-06-01 17:00:00,entrance_south
sporting,Sporting,38,2026-06-01 17:00:00,entrance_south
beauty,Beauty,80,2026-06-01 17:00:00,entrance_east
entertainment,Entertainment,76,2026-06-01 17:00:00,entrance_north
food_court,Food Court,269,2026-06-01 18:00:00,entrance_north
fashion_floor,Fashion Floor,160,2026-06-01 18:00:00,entrance_south
electronics,Electronics,139,2026-06-01 18:00:00,entrance_west
sporting,Sporting,266,2026-06-01 18:00:00,entrance_south
beauty,Beauty,152,2026-06-01 18:00:00,entrance_north
entertainment,Entertainment,125,2026-06-01 18:00:00,entrance_south
food_court,Food Court,113,2026-06-01 19:00:00,entrance_east
fashion_floor,Fashion Floor,191,2026-06-01 19:00:00,entrance_west
electronics,Electronics,291,2026-06-01 19:00:00,entrance_west
sporting,Sporting,260,2026-06-01 19:00:00,entrance_east
beauty,Beauty,234,2026-06-01 19:00:00,entrance_west
entertainment,Entertainment,235,2026-06-01 19:00:00,entrance_east
food_court,Food Court,214,2026-06-01 20:00:00,entrance_north
fashion_floor,Fashion Floor,297,2026-06-01 20:00:00,entrance_east
electronics,Electronics,107,2026-06-01 20:00:00,entrance_north
sporting,Sporting,134,2026-06-01 20:00:00,entrance_west
beauty,Beauty,255,2026-06-01 20:00:00,entrance_west
entertainment,Entertainment,152,2026-06-01 20:00:00,entrance_south
food_court,Food Court,67,2026-06-01 21:00:00,entrance_east
fashion_floor,Fashion Floor,92,2026-06-01 21:00:00,entrance_east
electronics,Electronics,62,2026-06-01 21:00:00,entrance_west
sporting,Sporting,81,2026-06-01 21:00:00,entrance_north
beauty,Beauty,28,2026-06-01 21:00:00,entrance_west
entertainment,Entertainment,65,2026-06-01 21:00:00,entrance_south
food_court,Food Court,74,2026-05-31 09:00:00,entrance_west
fashion_floor,Fashion Floor,131,2026-05-31 09:00:00,entrance_south
electronics,Electronics,59,2026-05-31 09:00:00,entrance_east
sporting,Sporting,104,2026-05-31 09:00:00,entrance_east
beauty,Beauty,62,2026-05-31 09:00:00,entrance_east
entertainment,Entertainment,195,2026-05-31 09:00:00,entrance_east
food_court,Food Court,137,2026-05-31 10:00:00,entrance_south
fashion_floor,Fashion Floor,54,2026-05-31 10:00:00,entrance_west
electronics,Electronics,38,2026-05-31 10:00:00,entrance_west
sporting,Sporting,126,2026-05-31 10:00:00,entrance_east
beauty,Beauty,129,2026-05-31 10:00:00,entrance_west
entertainment,Entertainment,55,2026-05-31 10:00:00,entrance_east
food_court,Food Court,62,2026-05-31 11:00:00,entrance_north
fashion_floor,Fashion Floor,124,2026-05-31 11:00:00,entrance_east
electronics,Electronics,75,2026-05-31 11:00:00,entrance_south
sporting,Sporting,65,2026-05-31 11:00:00,entrance_east
beauty,Beauty,84,2026-05-31 11:00:00,entrance_west
entertainment,Entertainment,104,2026-05-31 11:00:00,entrance_south
food_court,Food Court,168,2026-05-31 12:00:00,entrance_north
fashion_floor,Fashion Floor,295,2026-05-31 12:00:00,entrance_north
electronics,Electronics,294,2026-05-31 12:00:00,entrance_west
sporting,Sporting,324,2026-05-31 12:00:00,entrance_west
beauty,Beauty,296,2026-05-31 12:00:00,entrance_east
entertainment,Entertainment,362,2026-05-31 12:00:00,entrance_east
food_court,Food Court,318,2026-05-31 13:00:00,entrance_south
fashion_floor,Fashion Floor,288,2026-05-31 13:00:00,entrance_west
electronics,Electronics,311,2026-05-31 13:00:00,entrance_west
sporting,Sporting,459,2026-05-31 13:00:00,entrance_south
beauty,Beauty,214,2026-05-31 13:00:00,entrance_south
entertainment,Entertainment,338,2026-05-31 13:00:00,entrance_north
food_court,Food Court,140,2026-05-31 14:00:00,entrance_north
fashion_floor,Fashion Floor,146,2026-05-31 14:00:00,entrance_south
electronics,Electronics,434,2026-05-31 14:00:00,entrance_east
sporting,Sporting,319,2026-05-31 14:00:00,entrance_north
beauty,Beauty,261,2026-05-31 14:00:00,entrance_east
entertainment,Entertainment,380,2026-05-31 14:00:00,entrance_east
food_court,Food Court,163,2026-05-31 15:00:00,entrance_west
fashion_floor,Fashion Floor,162,2026-05-31 15:00:00,entrance_west
electronics,Electronics,75,2026-05-31 15:00:00,entrance_west
sporting,Sporting,28,2026-05-31 15:00:00,entrance_east
beauty,Beauty,90,2026-05-31 15:00:00,entrance_east
entertainment,Entertainment,66,2026-05-31 15:00:00,entrance_west
food_court,Food Court,137,2026-05-31 16:00:00,entrance_north
fashion_floor,Fashion Floor,74,2026-05-31 16:00:00,entrance_west
electronics,Electronics,153,2026-05-31 16:00:00,entrance_north
sporting,Sporting,65,2026-05-31 16:00:00,entrance_west
beauty,Beauty,101,2026-05-31 16:00:00,entrance_east
entertainment,Entertainment,32,2026-05-31 16:00:00,entrance_south
food_court,Food Court,121,2026-05-31 17:00:00,entrance_south
fashion_floor,Fashion Floor,127,2026-05-31 17:00:00,entrance_west
electronics,Electronics,116,2026-05-31 17:00:00,entrance_north
sporting,Sporting,41,2026-05-31 17:00:00,entrance_north
beauty,Beauty,68,2026-05-31 17:00:00,entrance_west
entertainment,Entertainment,38,2026-05-31 17:00:00,entrance_south
food_court,Food Court,265,2026-05-31 18:00:00,entrance_north
fashion_floor,Fashion Floor,345,2026-05-31 18:00:00,entrance_north
electronics,Electronics,279,2026-05-31 18:00:00,entrance_east
sporting,Sporting,533,2026-05-31 18:00:00,entrance_north
beauty,Beauty,350,2026-05-31 18:00:00,entrance_east
entertainment,Entertainment,252,2026-05-31 18:00:00,entrance_south
food_court,Food Court,317,2026-05-31 19:00:00,entrance_west
fashion_floor,Fashion Floor,482,2026-05-31 19:00:00,entrance_east
